[2025-08-21 00:51:04] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:51:38] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:52:54] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:52:54] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 18:49:36] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-23 16:32:05] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0
[2025-08-23 19:40:19] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0
[2025-08-24 14:08:37] Missing/Bad CSRF on /coinbase-modern/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0
[2025-08-24 14:12:01] Missing/Bad CSRF on /coinbase-modern/protection/admin/change_credentials.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0
[2025-08-24 14:12:10] Missing/Bad CSRF on /coinbase-modern/protection/admin/change_credentials.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0
[2025-08-24 14:15:19] Missing/Bad CSRF on /coinbase-modern/protection/admin/change_credentials.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0
[2025-08-24 14:15:31] Missing/Bad CSRF on /coinbase-modern/protection/admin/change_credentials.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0
[2025-08-24 14:16:34] Missing/Bad CSRF on /coinbase-modern/protection/admin/change_credentials.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0
[2025-08-24 22:12:33] Missing/Bad CSRF on /coinbase-modern-popup/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0
[2025-08-28 00:27:18] Missing/Bad CSRF on /govuk/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0
[2025-08-28 00:27:18] Missing/Bad CSRF on /govuk/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0
[2025-09-04 15:15:21] Missing/Bad CSRF on /govuk/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36
[2025-09-04 15:15:33] Missing/Bad CSRF on /govuk/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36
